,FPR,TPR,Threshold
0,0.0,0.0,inf
1,0.022222222222222223,0.0,0.5975455
2,0.044444444444444446,0.0,0.5938173
3,0.044444444444444446,0.008547008547008548,0.59367
4,0.06666666666666667,0.008547008547008548,0.5935185
5,0.06666666666666667,0.017094017094017096,0.59338826
6,0.06666666666666667,0.03418803418803419,0.59329814
7,0.08888888888888889,0.03418803418803419,0.59323204
8,0.08888888888888889,0.07692307692307693,0.5927216
9,0.08888888888888889,0.09401709401709402,0.59269553
10,0.08888888888888889,0.1111111111111111,0.5925955
11,0.08888888888888889,0.1282051282051282,0.59254026
12,0.1111111111111111,0.1282051282051282,0.5924841
13,0.1111111111111111,0.1452991452991453,0.5924183
14,0.1111111111111111,0.1623931623931624,0.5923456
15,0.13333333333333333,0.1623931623931624,0.5922569
16,0.13333333333333333,0.19658119658119658,0.5920747
17,0.17777777777777778,0.19658119658119658,0.5920634
18,0.17777777777777778,0.21367521367521367,0.59201264
19,0.17777777777777778,0.23076923076923078,0.5919047
20,0.2222222222222222,0.23076923076923078,0.591882
21,0.2222222222222222,0.24786324786324787,0.5917516
22,0.24444444444444444,0.24786324786324787,0.5917444
23,0.24444444444444444,0.2564102564102564,0.59160393
24,0.28888888888888886,0.2564102564102564,0.59156406
25,0.28888888888888886,0.27350427350427353,0.591554
26,0.28888888888888886,0.3076923076923077,0.591141
27,0.28888888888888886,0.3247863247863248,0.5911012
28,0.28888888888888886,0.3504273504273504,0.5909581
29,0.3111111111111111,0.3504273504273504,0.5909547
30,0.3111111111111111,0.358974358974359,0.5909225
31,0.35555555555555557,0.358974358974359,0.59085
32,0.35555555555555557,0.36752136752136755,0.59079
33,0.35555555555555557,0.38461538461538464,0.5907205
34,0.35555555555555557,0.4017094017094017,0.59069574
35,0.37777777777777777,0.4017094017094017,0.5906468
36,0.37777777777777777,0.4188034188034188,0.5906063
37,0.4,0.4188034188034188,0.5905693
38,0.4,0.4358974358974359,0.5905361
39,0.4222222222222222,0.4358974358974359,0.5904943
40,0.4222222222222222,0.452991452991453,0.590447
41,0.4444444444444444,0.452991452991453,0.5904318
42,0.4444444444444444,0.47863247863247865,0.59040076
43,0.4444444444444444,0.49572649572649574,0.59038335
44,0.4666666666666667,0.49572649572649574,0.5903408
45,0.4666666666666667,0.5897435897435898,0.5900316
46,0.4888888888888889,0.5897435897435898,0.58994496
47,0.4888888888888889,0.6324786324786325,0.5898347
48,0.5111111111111111,0.6324786324786325,0.5898278
49,0.5111111111111111,0.6666666666666666,0.58979255
50,0.5555555555555556,0.6666666666666666,0.5897577
51,0.5555555555555556,0.6837606837606838,0.5897479
52,0.5777777777777777,0.6837606837606838,0.5897356
53,0.5777777777777777,0.7521367521367521,0.589539
54,0.5777777777777777,0.7692307692307693,0.5895272
55,0.5777777777777777,0.7777777777777778,0.5895172
56,0.6,0.7777777777777778,0.5894672
57,0.6,0.7863247863247863,0.5894578
58,0.6222222222222222,0.7863247863247863,0.5893688
59,0.6222222222222222,0.8034188034188035,0.58932406
60,0.6444444444444445,0.8034188034188035,0.5893175
61,0.6444444444444445,0.811965811965812,0.5893018
62,0.6666666666666666,0.811965811965812,0.58926255
63,0.6666666666666666,0.8290598290598291,0.5891535
64,0.6666666666666666,0.8461538461538461,0.58902425
65,0.6888888888888889,0.8461538461538461,0.58901054
66,0.6888888888888889,0.8547008547008547,0.5889692
67,0.7333333333333333,0.8547008547008547,0.5889011
68,0.7333333333333333,0.8717948717948718,0.5888608
69,0.8,0.8717948717948718,0.5887835
70,0.8,0.8803418803418803,0.5887442
71,0.8444444444444444,0.8803418803418803,0.5887042
72,0.8444444444444444,0.8974358974358975,0.5886741
73,0.8444444444444444,0.9401709401709402,0.58843756
74,0.8666666666666667,0.9401709401709402,0.58840334
75,0.8666666666666667,0.9572649572649573,0.58833426
76,0.8888888888888888,0.9572649572649573,0.5883157
77,0.8888888888888888,0.9743589743589743,0.58795327
78,0.9111111111111111,0.9743589743589743,0.5879524
79,0.9111111111111111,1.0,0.5876445
80,1.0,1.0,0.5862201
