,FPR,TPR,Threshold
0,0.0,0.0,inf
1,0.0,0.008547008547008548,0.9998734
2,0.0,0.07692307692307693,0.99985766
3,0.022222222222222223,0.08547008547008547,0.9998553
4,0.022222222222222223,0.1282051282051282,0.9998354
5,0.022222222222222223,0.1452991452991453,0.9998292
6,0.022222222222222223,0.23931623931623933,0.9996339
7,0.022222222222222223,0.2564102564102564,0.99959284
8,0.022222222222222223,0.38461538461538464,0.9988186
9,0.044444444444444446,0.38461538461538464,0.99872655
10,0.044444444444444446,0.42735042735042733,0.9984843
11,0.044444444444444446,0.4444444444444444,0.9983877
12,0.044444444444444446,0.49572649572649574,0.997948
13,0.06666666666666667,0.49572649572649574,0.9970703
14,0.06666666666666667,0.5128205128205128,0.99634534
15,0.06666666666666667,0.5299145299145299,0.99623054
16,0.08888888888888889,0.5299145299145299,0.99613297
17,0.08888888888888889,0.5555555555555556,0.9913288
18,0.1111111111111111,0.5555555555555556,0.9905669
19,0.1111111111111111,0.5641025641025641,0.98901373
20,0.13333333333333333,0.5641025641025641,0.9856705
21,0.13333333333333333,0.6410256410256411,0.80833393
22,0.13333333333333333,0.6581196581196581,0.7941001
23,0.13333333333333333,0.6837606837606838,0.22135687
24,0.13333333333333333,0.7008547008547008,0.18774906
25,0.17777777777777778,0.7008547008547008,0.14508086
26,0.17777777777777778,0.7094017094017094,0.12568836
27,0.2,0.7094017094017094,0.09444459
28,0.2,0.7264957264957265,0.08590407
29,0.2222222222222222,0.7264957264957265,0.04639179
30,0.2222222222222222,0.7777777777777778,0.026512487
31,0.2222222222222222,0.811965811965812,0.020411035
32,0.2222222222222222,0.8290598290598291,0.013026006
33,0.24444444444444444,0.8290598290598291,0.012633494
34,0.24444444444444444,0.8376068376068376,0.012266855
35,0.28888888888888886,0.8376068376068376,0.00777189
36,0.28888888888888886,0.8547008547008547,0.0076929783
37,0.28888888888888886,0.8717948717948718,0.0068866694
38,0.28888888888888886,0.905982905982906,0.006139241
39,0.28888888888888886,0.9145299145299145,0.006003021
40,0.4,0.9145299145299145,0.004170904
41,0.4,0.9230769230769231,0.0036553543
42,0.4222222222222222,0.9230769230769231,0.0035071212
43,0.4222222222222222,0.9487179487179487,0.002225078
44,0.4666666666666667,0.9487179487179487,0.002080335
45,0.4666666666666667,0.9572649572649573,0.0016892039
46,0.6444444444444445,0.9572649572649573,0.0007459045
47,0.6444444444444445,0.9743589743589743,0.0006862757
48,0.7111111111111111,0.9743589743589743,0.0005050944
49,0.7111111111111111,0.9829059829059829,0.0004067609
50,1.0,0.9829059829059829,9.102831e-05
51,1.0,1.0,6.353836e-05
