,FPR,TPR,Threshold
0,0.0,0.0,inf
1,0.0,0.008547008547008548,0.99988115
2,0.0,0.1452991452991453,0.999744
3,0.022222222222222223,0.1452991452991453,0.9997321
4,0.022222222222222223,0.20512820512820512,0.99944454
5,0.022222222222222223,0.2222222222222222,0.99915636
6,0.022222222222222223,0.3418803418803419,0.99336326
7,0.044444444444444446,0.3418803418803419,0.9931977
8,0.044444444444444446,0.3504273504273504,0.9931793
9,0.06666666666666667,0.3504273504273504,0.99307853
10,0.06666666666666667,0.39316239316239315,0.985247
11,0.06666666666666667,0.41025641025641024,0.982847
12,0.08888888888888889,0.41025641025641024,0.9819463
13,0.08888888888888889,0.4444444444444444,0.9762082
14,0.1111111111111111,0.4444444444444444,0.9753703
15,0.1111111111111111,0.452991452991453,0.97177
16,0.1111111111111111,0.4700854700854701,0.9643967
17,0.1111111111111111,0.5213675213675214,0.9324499
18,0.1111111111111111,0.5384615384615384,0.9226878
19,0.13333333333333333,0.5384615384615384,0.8852192
20,0.13333333333333333,0.5641025641025641,0.7086416
21,0.13333333333333333,0.5811965811965812,0.60888714
22,0.13333333333333333,0.5982905982905983,0.33100575
23,0.15555555555555556,0.5982905982905983,0.20450783
24,0.15555555555555556,0.6239316239316239,0.17144467
25,0.15555555555555556,0.6410256410256411,0.09145414
26,0.15555555555555556,0.6495726495726496,0.062325574
27,0.17777777777777778,0.6495726495726496,0.057573896
28,0.17777777777777778,0.6581196581196581,0.03363932
29,0.17777777777777778,0.6752136752136753,0.032022126
30,0.17777777777777778,0.6923076923076923,0.026988637
31,0.2,0.6923076923076923,0.025376447
32,0.2,0.7094017094017094,0.022264648
33,0.24444444444444444,0.7094017094017094,0.015089748
34,0.24444444444444444,0.7264957264957265,0.013323969
35,0.26666666666666666,0.7264957264957265,0.011831962
36,0.26666666666666666,0.7606837606837606,0.009938999
37,0.28888888888888886,0.7606837606837606,0.007995687
38,0.28888888888888886,0.7692307692307693,0.007126127
39,0.28888888888888886,0.8034188034188035,0.0062831463
40,0.28888888888888886,0.811965811965812,0.006241857
41,0.3111111111111111,0.811965811965812,0.005035724
42,0.3111111111111111,0.8205128205128205,0.004910809
43,0.4,0.8205128205128205,0.0043916046
44,0.4,0.8547008547008547,0.0027525509
45,0.4222222222222222,0.8547008547008547,0.002171124
46,0.4222222222222222,0.8632478632478633,0.0021293235
47,0.4222222222222222,0.8803418803418803,0.0020053114
48,0.4222222222222222,0.8888888888888888,0.0019066428
49,0.4222222222222222,0.905982905982906,0.001883661
50,0.4444444444444444,0.905982905982906,0.0018392737
51,0.4444444444444444,0.9230769230769231,0.0014406849
52,0.5111111111111111,0.9230769230769231,0.0011091706
53,0.5111111111111111,0.9401709401709402,0.001011117
54,0.5333333333333333,0.9401709401709402,0.0009943893
55,0.5333333333333333,0.9572649572649573,0.0009510765
56,0.6222222222222222,0.9572649572649573,0.00066441565
57,0.6222222222222222,0.9743589743589743,0.0005906783
58,0.8222222222222222,0.9743589743589743,0.00023234476
59,0.8222222222222222,0.9829059829059829,0.00017313656
60,0.9333333333333333,0.9829059829059829,6.078104e-05
61,0.9333333333333333,1.0,3.6584934e-05
62,1.0,1.0,2.4114843e-05
