,FPR,TPR,Threshold
0,0.0,0.0,inf
1,0.0,0.008547008547008548,0.42135206
2,0.06666666666666667,0.008547008547008548,0.4207463
3,0.06666666666666667,0.017094017094017096,0.4205661
4,0.08888888888888889,0.017094017094017096,0.42039168
5,0.08888888888888889,0.06837606837606838,0.41986513
6,0.1111111111111111,0.06837606837606838,0.41985586
7,0.1111111111111111,0.08547008547008547,0.41978842
8,0.1111111111111111,0.11965811965811966,0.41956222
9,0.13333333333333333,0.11965811965811966,0.4195167
10,0.13333333333333333,0.1282051282051282,0.41950944
11,0.17777777777777778,0.1282051282051282,0.41948092
12,0.17777777777777778,0.1452991452991453,0.41940996
13,0.2,0.1452991452991453,0.41939333
14,0.2,0.19658119658119658,0.41915932
15,0.2222222222222222,0.19658119658119658,0.41912597
16,0.2222222222222222,0.23076923076923078,0.41903663
17,0.24444444444444444,0.23076923076923078,0.41902372
18,0.24444444444444444,0.24786324786324787,0.4190047
19,0.26666666666666666,0.24786324786324787,0.41899034
20,0.26666666666666666,0.26495726495726496,0.4189686
21,0.26666666666666666,0.28205128205128205,0.4189638
22,0.26666666666666666,0.29914529914529914,0.41894805
23,0.28888888888888886,0.29914529914529914,0.41892993
24,0.28888888888888886,0.358974358974359,0.41887257
25,0.3111111111111111,0.358974358974359,0.4188574
26,0.3111111111111111,0.37606837606837606,0.4188391
27,0.3333333333333333,0.37606837606837606,0.41883174
28,0.3333333333333333,0.39316239316239315,0.4188271
29,0.3333333333333333,0.42735042735042733,0.41876274
30,0.35555555555555557,0.42735042735042733,0.41874084
31,0.35555555555555557,0.4444444444444444,0.41873142
32,0.35555555555555557,0.46153846153846156,0.41872895
33,0.35555555555555557,0.4700854700854701,0.41872063
34,0.35555555555555557,0.48717948717948717,0.41871396
35,0.35555555555555557,0.49572649572649574,0.41870716
36,0.37777777777777777,0.49572649572649574,0.4187067
37,0.37777777777777777,0.5213675213675214,0.4186831
38,0.4444444444444444,0.5213675213675214,0.41866493
39,0.4444444444444444,0.5384615384615384,0.41865033
40,0.4888888888888889,0.5384615384615384,0.41864654
41,0.4888888888888889,0.5726495726495726,0.418537
42,0.5111111111111111,0.5726495726495726,0.41853583
43,0.5111111111111111,0.5897435897435898,0.4185129
44,0.5333333333333333,0.5897435897435898,0.41850603
45,0.5333333333333333,0.5982905982905983,0.4184647
46,0.5555555555555556,0.5982905982905983,0.4184617
47,0.5555555555555556,0.6153846153846154,0.4184484
48,0.5777777777777777,0.6153846153846154,0.41843453
49,0.5777777777777777,0.6495726495726496,0.41837412
50,0.5777777777777777,0.6666666666666666,0.4183614
51,0.6,0.6666666666666666,0.41835728
52,0.6,0.6837606837606838,0.41831502
53,0.6444444444444445,0.6837606837606838,0.41829094
54,0.6444444444444445,0.6923076923076923,0.41827777
55,0.6666666666666666,0.6923076923076923,0.41827756
56,0.6666666666666666,0.717948717948718,0.41825888
57,0.6888888888888889,0.717948717948718,0.4182415
58,0.6888888888888889,0.7350427350427351,0.41821766
59,0.6888888888888889,0.7435897435897436,0.4182071
60,0.6888888888888889,0.7606837606837606,0.41818255
61,0.6888888888888889,0.7863247863247863,0.41815206
62,0.7111111111111111,0.7863247863247863,0.41813496
63,0.7111111111111111,0.8034188034188035,0.41808727
64,0.7111111111111111,0.8290598290598291,0.4180417
65,0.7333333333333333,0.8290598290598291,0.41803533
66,0.7333333333333333,0.8461538461538461,0.41798115
67,0.7555555555555555,0.8461538461538461,0.41797563
68,0.7555555555555555,0.8547008547008547,0.41796413
69,0.8,0.8547008547008547,0.41794142
70,0.8,0.8632478632478633,0.41786557
71,0.8444444444444444,0.8632478632478633,0.4178557
72,0.8444444444444444,0.8803418803418803,0.41782752
73,0.8444444444444444,0.8974358974358975,0.41782552
74,0.8444444444444444,0.9145299145299145,0.41769338
75,0.8666666666666667,0.9145299145299145,0.41767868
76,0.8666666666666667,0.9230769230769231,0.4176758
77,0.8888888888888888,0.9230769230769231,0.41765994
78,0.8888888888888888,0.9401709401709402,0.4174922
79,0.8888888888888888,0.9572649572649573,0.41748086
80,0.9111111111111111,0.9572649572649573,0.41737065
81,0.9111111111111111,0.9743589743589743,0.41730443
82,0.9333333333333333,0.9743589743589743,0.41716838
83,0.9333333333333333,0.9829059829059829,0.41714182
84,0.9555555555555556,0.9829059829059829,0.41707185
85,0.9555555555555556,0.9914529914529915,0.41703764
86,1.0,0.9914529914529915,0.4169318
87,1.0,1.0,0.41681284
